age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,Interests,Looking for,Language
36,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,cooking,meet people,Arabics
40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,cooking,market place,Hindi
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,*,<=50K,music,forum,Spanish
18,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,<=50K,coding,advice,Belarussian
23,Private,Assoc-acdm,Never-married,Sales,Wife,*,Female,0,0,25,United-States,<=50K,tours,forum,Dari
58,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K,food,advice,Bengali
39,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,community,meet people,Bengali
30,Private,Assoc-acdm,Separated,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,community,market place,Bari
31,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,35,United-States,<=50K,tours,market place,Ukranian
38,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,tours,market place,English
66,nan,*,Married-civ-spouse,Prof-specialty,Husband,Black,Male,21375,0,35,*,>50K,food,hangouts,Spanish
51,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,84,United-States,>50K,languages,things to do,Bengali
37,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54,United-States,<=50K,pets,advice,English
47,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,football,hangouts,Ukranian
61,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K,languages,advice,Arabics
35,Private,HS-grad,Never-married,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,*,<=50K,pets,things to do,Pashto
26,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,community,things to do,Ukranian
39,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K,football,meet people,Bari
18,Private,11th,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K,art,hangouts,Bari
23,Private,Some-college,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,23,United-States,<=50K,football,things to do,Bari
51,State-gov,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,literature,meet people,Bari
46,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,24,United-States,<=50K,food,hangouts,Tamil
61,Private,*,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,*,<=50K,games,things to do,Russian
65,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,literature,market place,Spanish
31,Local-gov,HS-grad,Divorced,Protective-serv,Not-in-family,*,Male,0,0,48,United-States,>50K,football,forum,Russian
42,Private,*,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K,literature,things to do,Tamil
55,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K,literature,advice,Pashto
55,Private,Masters,Widowed,Prof-specialty,Wife,*,Female,0,0,40,United-States,>50K,community,hangouts,Bengali
37,Private,Some-college,Never-married,Adm-clerical,Wife,White,Female,7298,0,45,United-States,>50K,pets,market place,Bengali
45,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K,basketball,market place,English
47,Self-emp-inc,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K,music,forum,Tamil
53,Federal-gov,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1740,60,United-States,<=50K,pets,forum,Russian
22,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K,football,market place,Hindi
42,Private,*,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,*,<=50K,music,market place,Tamil
57,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K,community,things to do,Dari
63,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,15024,0,40,*,>50K,cooking,advice,Somali
63,Private,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,50,United-States,>50K,coding,forum,Ukranian
19,nan,Assoc-acdm,Never-married,nan,Own-child,White,Male,0,0,40,United-States,<=50K,football,things to do,Hindi
33,Federal-gov,10th,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,99,United-States,<=50K,languages,market place,Somali
57,nan,Some-college,Married-civ-spouse,nan,Husband,White,Male,0,0,50,United-States,<=50K,cooking,forum,Somali
35,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,basketball,meet people,Bari
20,nan,11th,Never-married,nan,Own-child,*,Male,0,0,40,United-States,<=50K,coding,market place,Bari
43,Federal-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,games,things to do,Bari
35,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,music,market place,Dari
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,basketball,hangouts,Somali
32,Self-emp-not-inc,Bachelors,Never-married,Sales,Other-relative,White,Male,0,0,45,United-States,<=50K,music,meet people,Belarussian
40,Local-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,football,hangouts,Bengali
34,Private,Some-college,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,*,>50K,basketball,things to do,Ukranian
27,Self-emp-inc,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K,pets,hangouts,Bari
47,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,music,market place,Ukranian
17,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,pets,forum,Pashto
31,Private,*,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,25,United-States,>50K,community,forum,Tamil
23,Private,10th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,*,<=50K,community,market place,English
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,languages,advice,Pashto
22,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,<=50K,art,things to do,Belarussian
29,Private,11th,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,2598,0,15,*,<=50K,cooking,meet people,English
20,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K,football,meet people,Ukranian
38,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,cooking,forum,Arabics
28,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K,games,hangouts,Dari
41,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,0,0,50,United-States,<=50K,literature,meet people,Russian
28,Private,HS-grad,Never-married,Sales,Wife,White,Female,0,0,40,United-States,<=50K,cooking,hangouts,Russian
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,cooking,forum,English
35,Private,10th,Never-married,Transport-moving,Unmarried,White,Female,0,0,80,United-States,<=50K,food,meet people,Arabics
64,Private,*,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,44,*,<=50K,languages,things to do,Pashto
29,nan,HS-grad,Never-married,nan,Own-child,White,Male,0,0,50,United-States,<=50K,games,advice,Ukranian
22,Private,HS-grad,Never-married,Sales,Wife,White,Female,0,0,40,United-States,<=50K,basketball,market place,Pashto
40,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,pets,advice,Hindi
31,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K,football,advice,Arabics
19,State-gov,11th,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K,football,hangouts,Hindi
44,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,football,hangouts,Spanish
45,Local-gov,Some-college,Divorced,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K,coding,things to do,Ukranian
53,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,0,0,45,United-States,>50K,music,advice,Ukranian
41,Private,Masters,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,35,*,<=50K,music,market place,Ukranian
58,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,music,forum,Somali
22,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,45,United-States,<=50K,literature,meet people,Tamil
52,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,3890,0,45,United-States,<=50K,food,meet people,Belarussian
46,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,*,Male,0,0,20,United-States,<=50K,cooking,advice,Bari
23,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,<=50K,music,advice,Bari
64,Local-gov,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,40,United-States,>50K,tours,meet people,English
31,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,coding,advice,Somali
66,Private,*,Divorced,Transport-moving,Not-in-family,Black,Female,0,0,10,United-States,<=50K,languages,advice,Pashto
26,State-gov,Bachelors,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,60,United-States,<=50K,music,things to do,Dari
58,State-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,50,United-States,>50K,pets,hangouts,Spanish
40,Private,*,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,literature,advice,Hindi
19,Private,Some-college,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,25,United-States,<=50K,community,advice,Russian
20,Self-emp-not-inc,HS-grad,Never-married,Prof-specialty,Husband,White,Male,0,0,80,United-States,<=50K,community,hangouts,Bari
17,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K,football,things to do,English
21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,38,United-States,<=50K,basketball,market place,Pashto
28,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K,tours,market place,Somali
26,Private,Masters,Never-married,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K,pets,things to do,Hindi
23,Private,Bachelors,*,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,0,0,40,*,<=50K,languages,forum,Ukranian
22,Private,*,Never-married,Farming-fishing,Other-relative,White,Male,0,0,35,Mexico,<=50K,food,market place,Somali
28,Self-emp-not-inc,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,>50K,cooking,market place,Tamil
46,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,54,United-States,>50K,games,advice,Pashto
46,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1678,50,United-States,<=50K,tours,market place,Hindi
45,Private,Bachelors,Widowed,Sales,Wife,White,Female,0,0,43,United-States,>50K,games,meet people,Ukranian
70,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,17,United-States,<=50K,tours,forum,Hindi
20,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K,food,meet people,Russian
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,football,meet people,Pashto
20,Private,HS-grad,Never-married,Sales,Other-relative,White,Male,0,0,20,United-States,<=50K,languages,market place,Arabics
